"Historical price chart data"
"Date: 01/02/2016 - 09/12/2016"
"RENAULT"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"FR0000131906","Euronext Paris","10/08/2016","76.24","76.74","75.76","75.88","731162","8237","55635607.27","EUR"
"FR0000131906","Euronext Paris","11/08/2016","76.49","77.22","75.54","76.88","719700","7763","55116621.89","EUR"
"FR0000131906","Euronext Paris","12/08/2016","76.73","77.37","75.66","76.00","538243","5830","41041637.20","EUR"
"FR0000131906","Euronext Paris","15/08/2016","76.26","77.52","76.09","76.89","468984","4374","36041656.42","EUR"
"FR0000131906","Euronext Paris","16/08/2016","76.00","76.00","74.35","74.43","912335","8976","68258901.49","EUR"
"FR0000131906","Euronext Paris","17/08/2016","74.50","74.81","73.09","73.43","670603","7278","49415908.73","EUR"
"FR0000131906","Euronext Paris","18/08/2016","74.04","74.07","73.14","73.69","464526","5288","34173461.79","EUR"
"FR0000131906","Euronext Paris","19/08/2016","73.79","73.79","72.25","73.20","680501","6995","49628453.28","EUR"
"FR0000131906","Euronext Paris","22/08/2016","73.10","74.53","72.99","73.86","573453","6102","42345367.95","EUR"
"FR0000131906","Euronext Paris","23/08/2016","71.71","73.76","71.43","73.00","1288916","11826","93613247.15","EUR"
"FR0000131906","Euronext Paris","24/08/2016","72.51","73.74","71.88","73.21","559387","6873","40973551.16","EUR"
"FR0000131906","Euronext Paris","25/08/2016","73.12","73.25","72.10","72.28","877244","8135","63518090.19","EUR"
"FR0000131906","Euronext Paris","26/08/2016","72.11","73.97","72.10","73.05","680763","6857","49778745.83","EUR"
"FR0000131906","Euronext Paris","29/08/2016","72.79","73.28","72.09","72.55","439415","4850","31837005.71","EUR"
"FR0000131906","Euronext Paris","30/08/2016","73.01","73.90","72.78","73.36","573720","4704","42108489.30","EUR"
"FR0000131906","Euronext Paris","31/08/2016","73.31","74.29","73.04","73.31","721149","6562","53144835.35","EUR"
"FR0000131906","Euronext Paris","01/09/2016","73.77","75.70","72.41","72.78","1230167","11244","91021838.15","EUR"
"FR0000131906","Euronext Paris","02/09/2016","73.35","74.36","72.13","74.22","937650","8192","68799035.19","EUR"
"FR0000131906","Euronext Paris","05/09/2016","74.52","75.28","73.85","74.95","758791","6077","56837766.70","EUR"
"FR0000131906","Euronext Paris","06/09/2016","75.17","75.59","74.37","74.54","567424","5738","42492292.51","EUR"
"FR0000131906","Euronext Paris","07/09/2016","74.25","74.90","73.16","74.62","807715","9111","59888173.48","EUR"
"FR0000131906","Euronext Paris","08/09/2016","74.80","75.50","73.15","74.36","762853","8007","56699866.26","EUR"
"FR0000131906","Euronext Paris","09/09/2016","74.18","75.10","73.42","73.85","510226","5467","37811278.25","EUR"
"FR0000131906","Euronext Paris","12/09/2016","72.11","72.84","71.50","72.74","803491","6633","58093687.04","EUR"
"FR0000131906","Euronext Paris","13/09/2016","73.16","73.56","71.98","72.02","633696","6164","45919312.38","EUR"
"FR0000131906","Euronext Paris","14/09/2016","72.30","72.31","70.71","70.90","877105","7630","62429654.66","EUR"
"FR0000131906","Euronext Paris","15/09/2016","70.90","71.79","70.21","71.04","807955","7859","57334146.18","EUR"
"FR0000131906","Euronext Paris","16/09/2016","70.86","71.40","69.12","69.36","1442826","9244","100511994.39","EUR"
"FR0000131906","Euronext Paris","19/09/2016","70.21","71.50","70.21","71.01","764357","7695","54273351.42","EUR"
"FR0000131906","Euronext Paris","20/09/2016","71.04","71.62","70.49","70.52","619494","6237","43939456.50","EUR"
"FR0000131906","Euronext Paris","21/09/2016","71.47","72.48","71.42","71.93","801668","8525","57740287.85","EUR"
"FR0000131906","Euronext Paris","22/09/2016","72.52","74.08","72.39","73.72","739907","7070","54438231.49","EUR"
"FR0000131906","Euronext Paris","23/09/2016","73.35","73.35","72.25","72.38","686746","6515","49839349.65","EUR"
"FR0000131906","Euronext Paris","26/09/2016","71.99","71.99","70.55","70.74","644816","5956","45794328.26","EUR"
"FR0000131906","Euronext Paris","27/09/2016","71.61","72.28","70.16","71.24","784987","8209","55863826.87","EUR"
"FR0000131906","Euronext Paris","28/09/2016","71.47","73.13","71.47","72.60","830649","7720","60284756.51","EUR"
"FR0000131906","Euronext Paris","29/09/2016","73.73","73.95","72.08","72.23","766240","8449","55892306.66","EUR"
"FR0000131906","Euronext Paris","30/09/2016","71.05","73.38","70.02","73.14","974788","10501","69786867.14","EUR"
"FR0000131906","Euronext Paris","03/10/2016","73.00","73.59","72.54","73.50","444447","5076","32553893.72","EUR"
"FR0000131906","Euronext Paris","04/10/2016","73.66","75.94","73.55","75.58","1457847","13721","109487655.96","EUR"
"FR0000131906","Euronext Paris","05/10/2016","74.54","77.06","74.08","76.67","1088813","11604","82948813.15","EUR"
"FR0000131906","Euronext Paris","06/10/2016","77.00","77.63","76.23","76.60","793769","8697","60978482.16","EUR"
"FR0000131906","Euronext Paris","07/10/2016","76.65","76.66","75.13","75.90","997296","9523","75607330.20","EUR"
